Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
190,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,"318,668","First published August 25, 2009","The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.","11,631",503,Hardcover,"92,552","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance"
191,"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,627,825","First published April 24, 2012","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.","82,461",336,Hardcover,"92,476","Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction"
86,A Tree Grows in Brooklyn,Betty  Smith,4.30,"480,532","First published August 18, 1943","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's ","28,818",496,Paperback,"344,793","Fiction, Historical Fiction, Classics, Young Adult, Coming Of Age, Historical, New York"
186,Bridge to Terabithia,Katherine Paterson,4.05,"561,146","First published October 21, 1977", ,"17,184",190,Kindle Edition,"96,204","Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction"
185,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,"942,590","First published January 1, 2006",The Expose,"37,955",503,Hardcover,"96,522","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
187,Heart of Darkness,Joseph Conrad,3.43,"526,829","First published January 1, 1899","Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.","21,751",188,Paperback,"95,874","Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels"
201,Madame Bovary,Gustave Flaubert,3.70,"347,043","First published December 15, 1856","Madame Bovary is the debut novel of French writer Gustave Flaubert, published in 1856. The character lives beyond her means in order to escape the banalities and emptiness of provincial life. When the novel was first serialized in La Revue de Paris between 1 October 1856 and 15 December 1856, public prosecutors attacked the novel for obscenity. The resulting trial in January 1857 made the story notorious. After Flaubert's acquittal on 7 February 1857, Madame Bovary became a bestseller in April 1857 when it was published in two volumes. A seminal work of literary realism, the novel is now considered Flaubert's masterpiece, and one of the most influential literary works in history.","17,569",329,Paperback,"88,963","Fiction, Classics, France, Literature, French Literature, Romance, 19th Century"
299,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"232,339","First published January 1, 1852","The narrative drive of Stowe's classic novel is often overlooked in the heat of the controversies surrounding its anti-slavery sentiments. In fact, it is a compelling adventure story with richly drawn characters and has earned a place in both literary and American history. Stowe's religious beliefs show up in the novel's final, overarching theme—the exploration of the nature of Christianity and how Christian theology is fundamentally incompatible with slavery.","10,189",438,Paperback,"50,628","Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American"
300,Never Let Me Go,Kazuo Ishiguro,3.85,"745,393","First published April 5, 2005","Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it.","58,941",288,Paperback,"50,360","Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Classics"
298,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.00,"696,657","First published May 26, 2011","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. ","34,957",432,Kindle Edition,"50,695","New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction, Chick Lit"
297,White Oleander,Janet Fitch,4.00,"358,479","First published July 1, 1999","Everywhere hailed as a novel of rare beauty and power, ","9,572",446,Mass Market Paperback,"50,865","Fiction, Coming Of Age, Contemporary, Literary Fiction, Drama, Adult Fiction, Chick Lit"
293,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.10,"206,718","First published January 1, 1985","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","5,988",481,Mass Market Paperback,"51,934","Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic"
296,The Things They Carried,Tim O'Brien,4.14,"324,691","First published March 28, 1990","A classic work of American literature that has not stopped changing minds and lives since it burst onto the literary scene, The Things They Carried is a ground-breaking meditation on war, memory, imagination, and the redemptive power of storytelling. ","19,740",246,Paperback,"51,337","Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical"
291,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"545,172","First published September 16, 1996","Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. ","30,655",370,Paperback,"52,220","Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction"
292,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"749,696","First published May 1, 2007",The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.,"31,934",566,Hardcover,"52,115","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
295,"Delirium (Delirium, #1)",Lauren Oliver,3.95,"471,785","First published February 3, 2011","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.","29,017",441,Paperback,"51,591","Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Teen"
